Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belarus,BLR,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003796288,0.003624474,0.003735489,0.004889713,0.005426459,0.007060045,0.005818518,0.007317792,0.011315781,0.006914844,0.009694134,0.011137482,0.009879912,0.009325744,0.009526284,0.01062864,0.009724888,0.010006269,0.010896009,0.016977317,0.016393939,0.0183801,0.030648547,0.066229575,0.053921062,,,,,
Belize,BLZ,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,7.566654517,7.234058772,7.005411276,6.958418823,6.237953154,5.970679325,5.895634345,5.758780526,5.342247061,3.739746868,3.874319229,3.649647211,3.840614761,3.921981928,3.897247459,4.021667403,4.134266941,4.336808805,4.085148161,3.026027287,3.545540442,3.237445794,3.610327304,2.928239443,2.526949306,2.654837006,2.682015103,2.628089958,3.088707473,3.051525082,4.292365772,3.67471295,3.139617147,3.40781679,2.840566602,2.469617828,3.250371281,3.319452554,3.145788246,2.651575217,2.62479375,2.253016372,2.416029259,1.974979274,,,,,
Brazil,BRA,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,5.323867582,5.827313193,6.072941362,6.474480251,6.824907296,7.457685078,8.135932684,8.4039405,8.968048944,9.737277736,10.29631566,10.92979876,11.44532262,12.18005828,12.54033647,11.61378129,11.52743314,12.12120545,12.4317158,12.41194697,12.43475285,12.57095162,12.72421072,12.48179072,13.02302229,12.79843406,12.94057041,13.15831572,12.87840839,13.71233371,12.95704118,13.24585102,13.75984072,13.23911161,13.33735027,13.7210227,13.56258237,12.90939716,13.79550183,12.70043836,13.4916124,12.65074056,11.49810424,10.80908733,,,,,
Barbados,BRB,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004441134,0.004490808,0.005653881,0.004839668,,,,,
Bhutan,BTN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,0.006359755,0.015043829,0.026924507,0.035219348,0.04437887,0.040517435,0.048422586,0.043321823,0.036468431,0.041123112,0.044245006,0.056786751,0.056617008,0.059155561,0.034615536,0.035480355,0.033816004,0.029956662,0.029008836,0.027905904,0.027582638,0.027153633,0.027241482,0.007906782,0.007661805,0,0,0,0,0,0,0,0.003465086,0.003165806,,,,,
Central African Republic,CAF,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,12.06229596,11.45254345,10.89471399,10.15013004,10.41846034,10.04635991,10.70022811,10.18847117,9.813260997,10.22201421,10.04328603,10.67094008,11.4758929,13.06035248,13.70508786,12.5819807,13.45982811,14.6990773,15.87688787,16.17114767,16.67245292,18.15438594,18.43107348,20.29038404,20.70796405,21.99816539,23.41053704,23.65510055,22.88449569,21.35515029,19.67487675,21.19362784,20.15219003,21.2060513,21.91553068,20.80666225,20.32661272,18.99097901,17.4820591,17.5201511,17.18910071,17.38897407,17.68934208,16.79457255,17.95154673,18.31901904,18.81242911,18.73280273,19.18589099,18.89958385,18.56114899,18.70906755,19.34764443,19.91241796,19.6911106,19.77084639,,,,
Central Europe and the Baltics,CEB,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0.100326004,0.091525573,0.108225471,0.091316509,0.095854128,0.104203426,0.103746332,0.104603379,0.105218309,0.081137871,0.158010125,0.419196671,0.51329006,0.522719887,0.735119173,0.858126586,1.023344384,1.110943143,1.057100593,1.260934471,1.5230928,1.862173613,1.931427877,2.275243769,2.614982825,3.113774385,3.453455443,4.041528683,4.686671463,4.840995435,6.4681787,6.972402255,6.905059644,6.997355183,7.280065302,7.496935402,7.725453605,8.028346258,8.630331647,8.789120978,9.310631482,9.755611797,10.53969301,10.2559701,10.55329958,10.41052964,10.12899723,9.804793098,10.557215,11.32770564,10.31633433,10.46712968,11.04347906,11.53227863,12.21833036,10.44443294,,,,
Switzerland,CHE,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,23.6818236,23.50171721,20.81842737,18.19460331,18.00320247,18.66401491,20.44025168,20.95248345,19.13461231,17.30452357,19.73428961,16.31441303,18.18150465,21.3865558,23.96367811,28.52546345,24.18744792,28.71130528,26.2021012,30.24259859,32.75464959,35.90269855,37.120833,35.11128646,35.52161573,39.16479947,37.880263,40.06586771,39.88226463,38.44560076,35.04956309,34.44305686,34.83084035,35.96953536,36.83784783,37.66806218,36.51060228,36.76152531,36.81995252,38.02766041,39.01811703,37.76178247,38.53250798,38.79477766,38.3031626,35.46089222,37.6631148,40.33237289,39.07402815,38.74798616,39.43492773,40.2837738,39.90440224,38.86709123,42.42282415,39.88653588,,,,
Channel Islands,CHI,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,4.751568455,5.575463075,5.660499882,6.485220843,7.197973758,7.022241085,7.155715926,7.188915357,6.982397497,7.141577539,7.279013552,8.682226942,9.0555657,8.931366687,9.934807327,10.16102962,10.67089511,9.232408988,6.914796584,4.62063257,6.697138209,8.031184231,8.201461157,7.330024785,7.452478303,6.25053412,6.312652439,5.074304539,4.228441375,5.801978067,6.798743985,7.024381592,6.853466537,6.315504828,7.3938305,7.794746171,5.890076615,6.157827883,6.577652879,5.56766616,4.815478304,4.291804323,4.082709331,5.645385061,5.722212159,,,,
China,CHN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0.659749352,0.710858289,0.766039775,0.844829715,0.800599643,0.7844134,0.751708752,0.649989416,0.718271902,0.837107506,0.949847682,1.045375095,1.167013354,1.105558288,1.149060419,1.13535343,1.142549114,1.182899923,1.256929844,0.918711739,0.989355243,1.014020983,1.140341,1.63850292,1.701723879,1.716526586,1.773303683,1.864066576,1.86535796,1.997142849,2.298897263,2.420432289,2.521047656,2.678906061,2.733917693,2.738780475,2.924529801,3.38410253,3.468317161,3.509341536,3.522434633,4.09182976,4.534146551,5.10701715,,,,,
Cote d'Ivoire,CIV,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0.486940511,0.746082167,0.536884819,0.848009996,1.112755233,0.927137707,0.586834402,0.412824997,1.783943373,3.253346466,4.180195124,4.19578998,2.429073406,0.911245723,3.158816912,2.50487533,2.157130629,2.500154025,3.102771907,2.381676792,2.298437219,1.848741185,1.545198418,1.569711366,2.387912531,1.876121236,1.70745701,1.405189177,1.209351394,1.283296305,1.436901586,1.181074711,1.389368641,0.833239065,0.648416379,0.758696386,0.89097695,0.97528527,1.241040567,0.945001444,0.8235671,0.817267171,0.64986636,0.794776712,,,,,
Cameroon,CMR,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,3.337655857,3.34957946,3.261994082,3.537556901,3.66877398,3.506357253,3.195691595,3.179536604,3.183388692,3.211358783,4.056431461,4.366709088,4.32263226,4.364854564,4.607020902,4.621480936,4.574123627,4.65210972,4.647101312,3.987355512,3.933755934,3.942862752,3.976279442,3.455796594,3.343669665,3.467226032,3.66649381,3.577068428,3.763194608,3.664153889,3.478447733,3.219102769,3.399219038,3.883172885,3.796732772,4.131272309,4.19734414,4.667218925,4.026991628,4.335114586,4.537107923,4.56760686,4.566472147,4.600758596,,,,,
"Congo, Dem. Rep.",COD,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,4.425587141,4.314111551,4.570008291,4.007160291,4.266127683,4.543375523,4.467870479,4.277169538,4.066280077,4.310124679,4.037213157,3.986884517,4.066323487,4.056162842,4.343614137,4.455102193,4.267321855,4.119945507,5.293667281,1.493472063,1.62763093,1.707689124,1.900694658,1.3920903,1.380862114,1.313465644,1.290982783,1.26290834,1.320589869,2.801816567,2.756509016,2.573181464,2.574083659,2.493084578,2.517720273,2.837882895,2.909198844,2.786315755,2.956495377,2.684161867,2.710329197,2.419477325,2.26762471,2.359946277,,,,,
"Congo, Rep.",COG,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0.913238417,1.077596027,0.807417728,0.871007957,0.901917388,0.894314714,0.716178024,0.158003214,1.106943219,1.387602578,1.386456303,2.208868243,2.629238151,2.939478285,3.273430745,3.063879114,3.127145923,3.340196321,4.419682097,3.756553057,4.059179746,3.986707805,3.486124015,3.953743244,3.571010836,3.929949579,3.422211533,2.719765239,1.534086229,3.066778659,2.874786678,3.293827037,2.353391011,2.177724251,2.23179819,1.941600044,2.359642477,2.241563926,1.645112074,1.403166666,1.427941102,1.54538497,1.492818284,1.428713035,,,,,
Colombia,COL,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,4.13679586,4.526915517,4.895705765,5.152562469,4.959247264,4.927920912,5.438958362,6.306281184,7.094923312,6.938373848,6.852750881,7.048855095,6.890705833,7.448258389,7.891564415,8.385376641,8.841995003,9.044260283,9.811337065,7.214029069,7.284686176,6.736548523,7.51371637,8.191233349,8.175245906,9.014127956,7.838845482,7.077913961,8.454756564,8.260166333,8.616870314,9.109798298,9.550539958,10.29670162,9.785721499,9.771520643,10.34504516,10.38188304,9.340378462,8.850505811,11.0055371,10.59687316,8.974066211,9.203541219,,,,,
Comoros,COM,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
